Lot,Pen,Tag Color,Program Type,Breed,Zone,In Date,Ship Date,DOF,DBS,30 Month Date,In Wt,Current Wt,Sex,Risk,Owner,Origin,Buyer,Receive,Live,Home,Buller,Hosp,Hosp%,Ship,Dead,Dead%,Transfer Out,1st Pull,1st Pull%,2nd Pull,2nd Pull%,Total Pull,Total Pull%,Railed,Railed%,Mass Proc $,Mass Proc $/hd,Mass Trmt $,Mass Trmt $/hd,Trmt $,Trmt $/hd,4D Avg,4D DM Avg,7D Avg,7D DM Avg,14D Avg,14D DM Avg,Fed/Hd,DM Fed/Hd,Ration,Phase,DOP,DOR,ADG,Avg Dly Cst,LTD Avg,LTD DM Avg,DTTR,CV% 4D,CV% 4D DM,CV% 7D,CV% 7D DM,CV% 14D,CV% 14D DM,CV% LTD,CV% LTD DM,Note,Area/Hd,Lot Desc,...71
208,204,NA,NA,NA,NA,04/27/23,12/24/24,412,196,NA,650,"1,267",Mixed,Unknown,1NC.,6man,NA,3,1,1,0,0,0.00,2,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,42.59,14.20,0.00,0.00,0.00,0.00,39.0,26.4,38.3,25.9,40.1,27.1,40.9,27.7,F5W,F5W,40,40,1.50,0.84,37.1,24.3,489,2.89,2.93,3.25,3.34,6.44,6.42,66.31,65.91,NA,0,NA,NA
208,BURDICK,NA,NA,NA,NA,04/11/24,03/11/26,62,638,NA,500,593,Mixed,Unknown,1NC.,6man,NA,3,3,3,0,0,0.00,0,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,42.06,14.02,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,DFTPHS,103,103,1.50,0.37,21.2,11.9,0,0.00,0.00,0.00,0.00,0.00,0.00,19.29,18.06,NA,0,NA,NA
208,SH1,NA,NA,NA,NA,04/11/24,03/11/26,62,638,NA,500,593,Mixed,Unknown,1NC.,6man,NA,2,2,2,0,0,0.00,0,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,28.04,14.02,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,GRASS,123,81,1.50,1.13,22.6,12.6,0,0.00,0.00,0.00,0.00,0.00,0.00,29.51,29.79,NA,0,NA,NA
208,SO2,NA,NA,NA,NA,06/05/24,02/27/26,7,626,NA,550,561,Mixed,Unknown,1NC.,6man,NA,2,2,2,0,0,0.00,0,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.9,18.6,33.1,18.7,32.4,18.3,32.2,18.1,NA,DFTPHS,6,6,1.57,0.00,26.2,14.8,0,1.53,1.59,4.43,4.37,4.19,4.06,27.71,26.84,NA,0,NA,NA
210,HAYPEN,PINK,NA,NA,NA,10/21/22,11/08/24,600,150,NA,502,"1,401",Steer,Unknown,1NC.,7rns,NA,11,3,3,0,0,0.00,3,5,45.45,0,10.00,90.91,7.00,70.00,24.00,218.18,3,27.27,67.50,6.14,9.23,0.84,496.53,45.14,0.0,0.0,0.8,0.4,0.8,0.4,0.0,0.0,NA,DFTPHS,138,138,1.50,0.00,14.9,8.6,0,0.00,0.00,0.00,0.00,10.83,15.56,74.57,75.33,Faith South Dakota..pi4045-4163,0,NA,NA
300,102,WHITE,NA,NA,NA,10/09/23,10/31/25,247,507,NA,497,"1,010",Mixed,Unknown,1NC.,1WFI,NA,73,71,71,0,0,0.00,0,2,2.74,0,42.00,57.53,6.00,14.29,49.00,67.12,0,0.00,"1,983.36",27.17,0.00,0.00,"1,203.29",16.48,39.3,26.6,39.2,26.5,38.7,26.2,39.0,26.4,F5W,F5W,40,40,2.08,1.48,31.4,20.3,88,1.36,1.26,1.16,1.11,1.96,1.93,16.96,21.63,NA,0,NA,NA
300,105,WHITE,NA,NA,NA,10/09/23,11/10/25,247,517,NA,492,849,Mixed,Unknown,1NC.,1WFI,NA,5,4,4,0,0,0.00,0,1,20.00,0,3.00,60.00,1.00,33.33,7.00,140.00,0,0.00,100.32,20.06,0.00,0.00,94.79,18.96,37.3,25.2,35.5,24.0,39.4,26.6,43.8,29.6,F5W,F5W,40,40,1.45,1.28,30.6,19.3,343,13.28,13.29,13.51,13.50,18.95,18.95,28.55,33.56,NA,0,NA,NA
300,209,WHITE,NA,NA,NA,10/09/23,09/10/25,247,456,NA,479,899,Steer,Unknown,1NC.,1WFI,NA,136,133,133,0,0,0.00,0,3,2.21,0,60.00,44.12,9.00,15.00,71.00,52.21,0,0.00,"3,754.57",27.61,0.00,0.00,"1,344.78",9.89,34.8,23.5,34.4,23.2,36.9,24.9,37.8,25.5,F5W,F5W,40,40,1.70,1.49,33.6,21.5,88,12.33,12.41,10.37,10.40,10.35,10.35,13.07,18.43,NA,0,NA,NA
300,BURDICK,WHITE,NA,NA,NA,10/09/23,11/10/25,247,517,NA,484,757,Mixed,Unknown,1NC.,1WFI,NA,250,249,249,0,0,0.00,0,1,0.40,0,88.00,35.20,15.00,17.05,106.00,42.40,0,0.00,"7,151.52",28.61,0.00,0.00,"2,226.53",8.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,DFTPHS,103,103,1.11,0.50,21.2,11.9,0,0.00,0.00,0.00,0.00,0.00,0.00,19.29,18.06,NA,0,NA,NA
300,FLINN,WHITE,NA,NA,NA,10/09/23,10/31/25,247,507,NA,543,912,Mixed,Unknown,1NC.,1WFI,NA,1,1,1,0,0,0.00,0,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,34.21,34.21,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,GRASS,55,55,1.49,0.25,21.6,12.4,0,0.00,0.00,0.00,0.00,0.00,0.00,54.99,53.38,NA,0,NA,NA
300,HAYPEN,WHITE,NA,NA,NA,10/09/23,10/31/25,247,507,NA,485,793,Mixed,Unknown,1NC.,1WFI,NA,20,4,4,0,0,0.00,1,15,75.00,0,16.00,80.00,11.00,68.75,41.00,205.00,1,5.00,355.30,17.76,0.00,0.00,750.43,37.52,0.0,0.0,0.8,0.4,0.8,0.4,0.0,0.0,NA,DFTPHS,138,138,1.25,0.28,14.9,8.6,0,0.00,0.00,0.00,0.00,10.83,15.56,74.57,75.33,NA,0,NA,NA
300,SH1,WHITE,NA,NA,NA,10/09/23,10/31/25,247,507,NA,485,807,Mixed,Unknown,1NC.,1WFI,NA,5,5,5,0,0,0.00,0,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,89.46,17.89,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,GRASS,123,81,1.30,0.46,22.6,12.6,0,0.00,0.00,0.00,0.00,0.00,0.00,29.51,29.79,NA,0,NA,NA
300,SO2,WHITE,NA,NA,NA,10/09/23,10/31/25,247,507,NA,504,737,Mixed,Unknown,1NC.,1WFI,NA,1,1,1,0,0,0.00,0,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,20.56,20.56,0.00,0.00,0.00,0.00,32.9,18.6,33.1,18.7,32.4,18.3,32.2,18.1,NA,DFTPHS,6,6,0.94,1.04,26.2,14.8,0,1.53,1.59,4.43,4.37,4.19,4.06,27.71,26.84,NA,0,NA,NA
300,W5,WHITE,NA,NA,NA,10/09/23,10/31/25,247,507,NA,504,737,Mixed,Unknown,1NC.,1WFI,NA,1,1,1,0,0,0.00,0,0,0.00,0,1.00,100.00,0.00,0.00,1.00,100.00,0,0.00,20.56,20.56,0.00,0.00,26.99,26.99,32.8,18.1,33.2,18.3,32.3,17.9,32.2,17.8,GRASS,GRASS,85,85,0.94,1.04,26.1,14.7,0,1.52,1.48,5.39,5.36,5.68,5.56,30.08,28.74,NA,0,NA,NA
301,SH1,WHITE,NA,NA,NA,10/09/23,10/31/25,247,507,NA,487,819,Heifer,Unknown,1NC.,1WFI,NA,119,119,119,0,0,0.00,0,0,0.00,0,37.00,31.09,7.00,18.92,46.00,38.66,0,0.00,"2,104.96",17.69,0.00,0.00,717.86,6.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,GRASS,123,81,1.34,0.74,22.6,12.6,0,0.00,0.00,0.00,0.00,0.00,0.00,29.51,29.79,NA,0,NA,NA
